Код	Наименование	ინდენტიფიკატორი ИТС დისკზე
*U01.0    	 (*U01.0)	0
*U01.1    	 (*U01.1)	0
*U01.2    	 (*U01.2)	0
*U01.3    	 (*U01.3)	0
*U01.4    	 (*U01.4)	0
*U01.5    	 (*U01.5)	0
*U01.6    	 (*U01.6)	0
*U01.7    	 (*U01.7)	0
*U01.8    	 (*U01.8)	0
*U01.9    	 (*U01.9)	0
*U02      	 (*U02)	0
*U03.0    	 (*U03.0)	0
*U03.9    	 (*U03.9)	0
A00.0     	ქოლერა, გამოწვეული ქოლერის ვიბრიონით (Vibrio cholerae) 01 (biovar cholerae) (A00.0)	0
A00.1     	ქოლერა, გამოწვეული ქოლერის ვიბრიონით 01 (biovar eltor) (A00.1)	0
A00.9     	ქოლერა, დაუზუსტებელი (A00.9)	0
A01.0     	მუცლის ტიფი (A01.0)	0
A01.1     	პარატიფი  A (A01.1)	0
A01.2     	პარატიფი  B (A01.2)	0
A01.3     	პარატიფი  C (A01.3)	0
A01.4     	პარატიფი, დაუზუსტებელი (A01.4)	0
A02.0     	სალმონელური ენტერიტი (A02.0)	0
A02.1     	სალმონელური სეპსისი (A02.1)	0
A02.2     	ლოკალიზებული სალმონელური ინფექციები (A02.2)	0
A02.8     	სხვა დაზუსტებული სალმონელური ინფექციები (A02.8)	0
A02.9     	სალმონელური ინფექციები, დაუზუსტებელი (A02.9)	0
A03.0     	შიგელოზი, გამოწვეული Shigella dysenteriae-თი (A03.0)	0
A03.1     	შიგელოზი, გამოწვეული Shigella flexneri-თ (A03.1)	0
A03.2     	შიგელოზი, გამოწვეული Shigella boydii-თ (A03.2)	0
A03.3     	შიგელოზი, გამოწვეული Shigella sonnei-თ (A03.3)	0
A03.8     	სხვა შიგელოზი (A03.8)	0
A03.9     	შიგელოზი, დაუზუსტებელი (A03.9)	0
A04.0     	ენტეროპათოგენური, Escherichia coli-თ გამოწვეული ინფექცია (A04.0)	0
A04.1     	ენტეროტოქსიგენური,EEscherichia coli-თ გამოწვეული ინფექცია (A04.1)	0
A04.2     	ენტეროინვაზიური,Escherichia coli-თ გამოწვეული ინფექცია (A04.2)	0
A04.3     	ენტეროჰემორაგიული,EEscherichia coli-თ გამოწვეული ინფექცია (A04.3)	0
A04.4     	სხვა ნაწლავური ინფექციები, გამოწვეული Escherichia coli-თ (A04.4)	0
A04.5     	კამპილობაქტერიული ენტერიტი (A04.5)	0
A04.6     	ენტერიტი, გამოწვეული YYersinia enterocolitica-თი (A04.6)	0
A04.7     	ენტეროკოლიტი, გამოწვეული Clostridium difficile-თი (A04.7)	0
A04.8     	ნაწლავთა სხვა დაზუსტებული ბაქტერიული ინფექციები (A04.8)	0
A04.9     	ნაწლავთა ბაქტერიული ინფექციები, დაუზუსტებელი (A04.9)	0
A05.0     	საკვებისმიერი სტაფილოკოკური ინტოქსიკაცია (A05.0)	0
A05.1     	ბოტულიზმი (A05.1)	0
A05.2     	საკვებისმიერი Clostridium perfingers-ით [clostridium welchii] გამოწვეული ინტოქსიკაცია (A05.2)	0
A05.3     	საკვებისმიერი Vibrio parahaemolyticus-ით გამოწვეული ინტოქსიკაცია (A05.3)	0
A05.4     	საკვებისმიერი BBacillus cereus-ით გამოწვეული ინტოქსიკაცია (A05.4)	0
A05.8     	სხვა დაზუსტებული საკვებისმიერი ინტოქსიკაციები (A05.8)	0
A05.9     	ბაქტერიული საკვებისმიერი ინტოქსიკაცია, დაუზუსტებელი (A05.9)	0
A06.0     	მწვავე ამებური დიზენტერია (A06.0)	0
A06.1     	ნაწლავთა ქრონიკული ამებიაზი (A06.1)	0
A06.2     	არადიზენტერიული ამებური კოლიტი (A06.2)	0
A06.3     	ნაწლავის ამებომა (A06.3)	0
A06.4     	ღვიძლის ამებური აბსცესი (A06.4)	0
