code,title,reason
F12.7,კანაბინოიდების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსიქოზური აშლილობა. (F12.7,მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
F13.2,სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. ფსიქოაქტიური ნივთიერებებისადმი დამოკიდებულების სინდრომი (F1,მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
F13.3,სედატიური და საძილე საშუალების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხსნის სინდ,მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
F15.3,სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. აღკვეთის მდგომარეობა (ფსიქოაქტიურ ნივთიერებათა მოხს,მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
F15.9,სხვა სტიმულატორების (კოფეინის ჩათვლით) მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. დაუზუსტებელი ფსიქიკური და ქცევითი აშლილობანი. (F15.,მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
F16.7,ჰალუცინოგენების მიღების შედეგად გამოწვეული ფსიქიკური და ქცევითი აშლილობანი. რეზიდუალური და მოგვიანებულ ასაკში განვითარებული ფსიქოზური აშლილობა. (F16.,მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
G13.1,უპირატესად ცენტრალური ნერვული სისტემის დამაზიანებელი სხვა სისტემური ატროფიები სიმსივნური ავადმყოფობის დროს პარანეოპლასტური ლიმბური ენცეფალოპათია (C 0,მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
G73.5,მიოპათია ენდოკრინული ავადმყოფობების დროს მიოპათია:,მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
H22.1,"ირიდოციკლიტი სხვა ავადმყოფობების დროს, რომლებიც შეტანილია სხვა რუბრიკებში ირიდოციკლიტი: . ანკილოზური სპონდილიტის დროს (M 45+) . სარკოიდოზის დროს (D",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
I79.1,"აორტიტები იმ ავადმყოფობის დროს, რომლებიც შეტანილია სხვა რუბრიკებში ათაშანგური აორტიტი (A52.0+)",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
M14.2,დიაბეტური ართროპათია (E 10-E 14+) საერთო მეოთხე რიგის ქვეკატეგორიის ნიშნით . 6),მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
M90.6,მადეფორმირებელი ოსტეიტი სიმსივნური ავადმყოფობის დროს (C00-D48+) მადეფორმირებელი ოსტეიტი ძვლის ავთვისებიანი სიმსივნის დროს (C40-C41+),მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
N13.9,"ობსტრუქციული უროპათია და რეფლუქს-უროპათია, დაუზუსტებელი საშარდე გზების ობსტრუქცია, რომელიც სხვაგვარად არ არის დაზუსტებული",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
N33.8,"შარდის ბუშტის დაზიანებები იმ სხვა ავადმყოფობათა დროს, რომლებიც შეტანილია სხვა რუბრიკებში",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
N37.0,"ურეთრიტი, იმ ავადმყოფობათა დროს, რომლებიც შეტანილია სხვა კლასიფიკაციებში კანდიდური ურეთრიტი (B37.4+)",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
N51.1,"სათესლე ჯირკვლის და სათესლე ჯირკვლის დანამატის დაზიანებები იმ ავადმყოფობათა დროს, რომლებიც შეტანილია სხვა რუბრიკებში",მრავალხაზიანი/შეწყვეტილი ტექსტი წყაროში
